id,code_model,name_fault,name_model,name_system,type_fault,color_fault,color_tone,evaluation_method,observation_method,active_fault,seismogenic_fault,capable_fault
FLT_0001_001,F325,,3D_Model_Visso,,FAULT_SD,111,100,M002,S019,ND,ND,ND
FLT_0002_001,F325,Acquasanta_1,3D_Model_Visso,Acquasanta,FAULT_LT,800,100,M002,S019,ND,ND,ND
FLT_0002_002,F325,Acquasanta_2,3D_Model_Visso,Acquasanta,FAULT_LT,800,100,M002,S019,ND,ND,ND
FLT_0002_003,F325,Acquasanta_3,3D_Model_Visso,Acquasanta,FAULT_LT,800,100,M002,S019,ND,ND,ND
FLT_0002_004,F325,Acquasanta_4,3D_Model_Visso,Acquasanta,FAULT_LT,800,100,M002,S019,ND,ND,ND
FLT_0003_001,F325,Cacam_Can_1,3D_Model_Visso,Cacam_Can,FAULT_LT,800,100,M002,S019,ND,ND,ND
FLT_0003_002,F325ddf,Cacam_Can_2,3D_Model_Visso,Cacam_Can,FAULT_LT,800,100,M002,S019,ND,ND,ND
FLT_0003_003,F325,Cacam_Can_3,3D_Model_Visso,Cacam_Can,FAULT_LT,800,100,M002,S019,ND,ND,ND
FLT_0003_004,F325,Cacam_Can_4,3D_Model_Visso,Cacam_Can,FAULT_LT,800,100,M002,S019,ND,ND,ND
FLT_0004_001,F325,Mt.Fema_1,3D_Model_Visso,Mt.Fema,FAULT_LT,800,100,M002,S019,ND,ND,ND
FLT_0004_002,F325,Mt.Fema_2,3D_Model_Visso,Mt.Fema,FAULT_LT,800,100,M002,S019,ND,ND,ND
FLT_0005_001,F325,Patino_1,3D_Model_Visso,Patino,FAULT_LT,800,100,M002,S019,ND,ND,ND
FLT_0005_002,F325,Patino_2,3D_Model_Visso,Patino,FAULT_LT,800,100,M002,S019,ND,ND,ND
FLT_0005_003,F325,Patino_3,3D_Model_Visso_Visso,Patino,FAULT_LT,800,100,M002,S019,ND,ND,ND
FLT_0006_001,F325,,3D_Model_Visso,,FAULT_LT,800,100,M002,S019,ND,ND,ND
FLT_0007_001,F325,,3D_Model_Visso,,FAULT_LT,800,100,M002,S019,ND,ND,ND
FLT_0007_002,F325,,3D_Model_Visso,,FAULT_LT,800,100,M002,S019,ND,ND,ND
FLT_0009_001,F325,Sibillini_1,3D_Model_Visso,Sibillini,FAULT_LT,800,100,M002,S019,ND,ND,ND
FLT_0009_002,F325ddf,Sibillini_2,3D_Model_Visso,Sibillini,FAULT_LT,800,100,M002,S019,ND,ND,ND
FLT_0009_003,F325,Sibillini_3,3D_Model_Visso,Sibillini,FAULT_LT,800,100,M002,S019,ND,ND,ND
FLT_0009_004,F325,Sibillini_4,3D_Model_Visso,Sibillini,FAULT_LT,800,100,M002,S019,ND,ND,ND
FLT_0009_005,F325,Sibillini_5,3D_Model_Visso,Sibillini,FAULT_LT,800,100,M002,S019,ND,ND,ND
FLT_0009_006,F325,Sibillini_6,3D_Model_Visso,Sibillini,FAULT_LT,800,100,M002,S019,ND,ND,ND
FLT_0009_007,F325,Sibillini_7,3D_Model_Visso,Sibillini,FAULT_LT,800,100,M002,S019,ND,ND,ND
FLT_0009_008,F325,Sibillini_8,3D_Model_Visso,Sibillini,FAULT_LT,800,100,M002,S019,ND,ND,ND
FLT_0009_009,F325,Sibillini_9,3D_Model_Visso,Sibillini,FAULT_LT,800,100,M002,S019,ND,ND,ND
FLT_0009_010,F325,Sibillini_10,3D_Model_Visso,Sibillini,FAULT_LT,800,100,M002,S019,ND,ND,ND
FLT_0009_011,F325,Sibillini_11,3D_Model_Visso,Sibillini,FAULT_LT,800,100,M002,S019,ND,ND,ND
FLT_0009_012,F325,Sibillini_12,3D_Model_Visso,Sibillini,FAULT_LT,800,100,M002,S019,ND,ND,ND
FLT_0009_013,F325,Sibillini_13,3D_Model_Visso,Sibillini,FAULT_LT,800,100,M002,S019,ND,ND,ND
FLT_0009_014,F325,Sibillini_14,3D_Model_Visso,Sibillini,FAULT_LT,800,100,M002,S019,ND,ND,ND
FLT_0010_002,F325,Mt_Vet_Bove_2,3D_Model_Visso,Mt_Vet_Bove,FAULT_N,100,100,M002,S019,ND,ND,ND
FLT_0010_004,F325,Mt_Vet_Bove_4,3D_Model_Visso,Mt_Vet_Bove,FAULT_N,100,100,M002,S019,ND,ND,ND
FLT_0010_005,F325,Mt_Vet_Bove_5,3D_Model_Visso,Mt_Vet_Bove,FAULT_N,100,100,M002,S019,ND,ND,ND
FLT_0010_006,F325,Mt_Vet_Bove_6,3D_Model_Visso,Mt_Vet_Bove,FAULT_N,100,100,M002,S019,ND,ND,ND
FLT_0010_007,F325,Mt_Vet_Bove_7,3D_Model_Visso,Mt_Vet_Bove,FAULT_N,100,100,M002,S019,ND,ND,ND
FLT_0010_008,F325,Mt_Vet_Bove_8,3D_Model_Visso,Mt_Vet_Bove,FAULT_N,100,100,M002,S019,ND,ND,ND
FLT_0010_009,F325,Mt_Vet_Bove_9,3D_Model_Visso,Mt_Vet_Bove,FAULT_N,100,100,M002,S019,ND,ND,ND
FLT_0010_010,F325,Mt_Vet_Bove_10,3D_Model_Visso,Mt_Vet_Bove,FAULT_N,100,100,M002,S019,ND,ND,ND
FLT_0010_011,F325,Mt_Vet_Bove_11,3D_Model_Visso,Mt_Vet_Bove,FAULT_N,100,100,M002,S019,ND,ND,ND
FLT_0010_012,F325,Mt_Vet_Bove_12,3D_Model_Visso,Mt_Vet_Bove,FAULT_N,100,100,M002,S019,ND,ND,ND
FLT_0010_013,F325,Mt_Vet_Bove_13,3D_Model_Visso,Mt_Vet_Bove,FAULT_N,100,100,M002,S019,ND,ND,ND
FLT_0010_014,F325,Mt_Vet_Bove_14,3D_Model_Visso,Mt_Vet_Bove,FAULT_N,100,100,M002,S019,ND,ND,ND
FLT_0010_015,F325,Mt_Vet_Bove_15,3D_Model_Visso,Mt_Vet_Bove,FAULT_N,100,100,M002,S019,ND,ND,ND
FLT_0010_016,F325,Mt_Vet_Bove_16,3D_Model_Visso,Mt_Vet_Bove,FAULT_N,100,100,M002,S019,ND,ND,ND
FLT_0010_017,F325,Mt_Vet_Bove_17,3D_Model_Visso,Mt_Vet_Bove,FAULT_N,100,100,M002,S019,ND,ND,ND
FLT_0010_018,F325,Mt_Vet_Bove_18,3D_Model_Visso,Mt_Vet_Bove,FAULT_N,100,100,M002,S019,ND,ND,ND
FLT_0010_019,F325,Mt_Vet_Bove_19,3D_Model_Visso,Mt_Vet_Bove,FAULT_N,100,100,M002,S019,ND,ND,ND
FLT_0010_020,F325,Mt_Vet_Bove_20,3D_Model_Visso,Mt_Vet_Bove,FAULT_N,100,100,M002,S019,ND,ND,ND
FLT_0010_021,F325,Mt_Vet_Bove_21,3D_Model_Visso,Mt_Vet_Bove,FAULT_N,100,100,M002,S019,ND,ND,ND
FLT_0010_022,F325,Mt_Vet_Bove_22,3D_Model_Visso,Mt_Vet_Bove,FAULT_N,100,100,M002,S019,ND,ND,ND
FLT_0010_023,F325,Mt_Vet_Bove_23,3D_Model_Visso,Mt_Vet_Bove,FAULT_N,100,100,M002,S019,ND,ND,ND
FLT_0010_024,F325,Mt_Vet_Bove_24,3D_Model_Visso,Mt_Vet_Bove,FAULT_N,100,100,M002,S019,ND,ND,ND
FLT_0010_025,F325,Mt_Vet_Bove_25,3D_Model_Visso,Mt_Vet_Bove,FAULT_N,100,100,M002,S019,ND,ND,ND
FLT_0010_026,F325,Mt_Vet_Bove_26,3D_Model_Visso,Mt_Vet_Bove,FAULT_N,100,100,M002,S019,ND,ND,ND
FLT_0010_027,F325,Mt_Vet_Bove_27,3D_Model_Visso,Mt_Vet_Bove,FAULT_N,100,100,M002,S019,ND,ND,ND
FLT_0010_028,F325,Mt_Vet_Bove_28,3D_Model_Visso,Mt_Vet_Bove,FAULT_N,100,100,M002,S019,ND,ND,ND
FLT_0010_029,F325,Mt_Vet_Bove_29,3D_Model_Visso,Mt_Vet_Bove,FAULT_N,100,100,M002,S019,ND,ND,ND
FLT_0010_030,F325,Mt_Vet_Bove_30,3D_Model_Visso,Mt_Vet_Bove,FAULT_N,100,100,M002,S019,ND,ND,ND
FLT_0011_001,F325,Pat_Nor_1,3D_Model_Visso,Pat_Nor,FAULT_N,100,100,M002,S019,ND,ND,ND
FLT_0011_002,F325,Pat_Nor_2,3D_Model_Visso,Pat_Nor,FAULT_N,100,100,M002,S019,ND,ND,ND
FLT_0011_003,F325,Pat_Nor_3,3D_Model_Visso,Pat_Nor,FAULT_N,100,100,M002,S019,ND,ND,ND
FLT_0011_004,F325,Pat_Nor_4,3D_Model_Visso,Pat_Nor,FAULT_N,100,100,M002,S019,ND,ND,ND
FLT_0011_005,F325,Pat_Nor_5,3D_Model_Visso,Pat_Nor,FAULT_N,100,100,M002,S019,ND,ND,ND
FLT_0011_006,F325,Pat_Nor_6,3D_Model_Visso,Pat_Nor,FAULT_N,100,100,M002,S019,ND,ND,ND
