id,code_model,name_surface,name_model,type_contact,color_surface,color_tone,age_min_surface,age_max_surface,evaluation_method,observation_method,id_ref_unit_up,id_ref_unit_down
SRF_0006_001,F325,Bottom_Mas,3D_Model_Visso,CT_LT,49,100,HET0,HET0,M004,S020,UNT_0006_004,ND
SRF_0006_002,F325,Bottom_Mas,3D_Model_Visso,CT_LT,49,100,HET0,HET0,M004,S020,UNT_0006_003,ND
SRF_0006_003,F325,Bottom_Mas,3D_Model_Visso,CT_LT,49,100,HET0,HET0,M004,S020,UNT_0006_001,ND
SRF_0005_001,F325,Top_Mas,3D_Model_Visso,CT_LT,48,100,HET0,PRRR0,M002,S019,UNT_0005_001,UNT_0006_001
SRF_0005_002,F325,Top_Mas,3D_Model_Visso,CT_LT,48,100,HET0,PLB0,M002,S019,UNT_0005_001,UNT_0006_004
SRF_0005_004,F325,Top_Mas,3D_Model_Visso,CT_LT,48,100,HET0,PLB0,M002,SR19,UNT_0005_004,UNT_0006_003
SRF_0004_001,F325,Top_Fuc,3D_Model_Visso,CTaLT,40,100,SIN0,ALB0,M002,S019,UNT_0004_001,UNT_0005_004
SRF_0004_002,F325,Top_Fuc,3D_Model_Visso,CT_LT,40,100,SIN0,ALB0,M002,S019,UNT_0004_003,UNT_0005_001
SRF_0004_005,F325,Top_Fuc,3D_Model_Visso,CT_LT,40,100,SIN0,ALB0,M002,S019,UNT_0004_002,UNT_0005_002
SRF_0003_001,F325,Top_Scaglia,3D_Model_Visso_Visso,CT_LT,34,100,ALB0,PRB0,M002,S019,UNT_0003_003,UNT_0004_003
SRF_0002_001,F325,Top_Bisciaro,3D_Model_Visso,CT_LT,27,100,PRB0,BUR0,M002,S019,ND,UNT_0003_001
SRF_0002_002,F325,Top_Bisciaro,3D_Model_Visso,CT_LT,27,100,PRB0,BUR0,M002,S019,UNT_0002_002,UNT_0003_004
SRF_0001_001,F325,Top_Argille_Orb,3D_Model_Visso,CT_LT,21,100,BUR0,MES0,M002,S019,UNT_0001_001,UNT_0002_002
