id,code_model,name_unit,name_model,type_unit,type_lithology_main,type_lithology_sec,color_unit,color_tone,id_surface_top,id_surface_bottom,age_up,age_low,type_et_process,type_event_environment
UNT_0006_001,F325,Mas,3D_Model_Visso,UNT_GEO,RS-CA0101,RS-CA0105,48,100,SRF_0005_001,SRF_0006_003,PLB0,HET0,P020,E105
UNT_0006_003,F325,Mas,3D_Model_Visso,UNT_GEO,RS-CA0101,RS-CA0105,48,100,SRF_0005_004,SRF_0006_002,PLB0,HET0,P020,E105
UNT_0006_004,F325,Mas,3D_Model_Visso,UNT_GEO,RS-CA0101,RS-CA0105,48,100,SRF_0005_002,SRF_0006_001,PLB0,HET0,P020,E105
UNT_0005_001,F325,Top_Mas_Top_Fucoidi,3D_Model_Visso,UNT_GEO,RS-CA0101,RS-CA0107,40,100,SRF_0004_002,SRF_0005_002,ALB0,SIN0,P020,E024
UNT_0005_002,F325,Top_Mas_Top_Fucoidi,3D_Model_Visso,UNT_GEO,RS-CA0101,RS-CA0107,40,100,SRF_0004_005,SRF_0005_001,ALB0,SIN0,P020,E024
UNT_0005_004,F325,Top_Mas_Top_Fucoidi,3D_Model_Visso,UNT_GEO,RS-CA0101,RS-CA0107,40,100,SRF_0004_001,SRF_0005_004,ALB0,SIN0,P020,E024
UNT_0004_001,F325,Scaglia,3D_Model_Visso,UNT_GEO,RS-CA0101,RS-CA0108,34,100,SRF_0003_002,SRF_0004_001,PRB0,ALB0,P020,E024
UNT_0004_002,F325,Scaglia,3D_Model_Visso,UNT_GEO,RS-CA0101,RS-CA0108,34,100,SRF_0003_003,SRF_0004_005,PRB0,ALB0,P020,E024
UNT_0004_003,F325,Scaglia,3D_Model_Visso,UNT_GEO,RS-CA0101,RS-CA0108,34,100,SRF_0003_001,SRF_0004_002,PRB0,ALB0,P020,E024
UNT_0003_001,F325,Top_Vas_Top_Bis,3D_Model_Visso,UNT_GEO,RS-MI0102,RS-CA0101,27,100,dem,SRF_0003_003,BUR0,PRB0,P020,E024
UNT_0003_003,F325,Top_Vas_Top_Bis,3D_Model_Visso,UNT_GEO,RS-MI0102,RS-CA0101,27,100,dem,SRF_0003_001,BUR0,PRB0,P020,E024
UNT_0003_004,F325,Top_Vas_Top_Bis,3D_Model_Visso,UNT_GEO,RS-MI0102,RS-CA0101,27,100,SRF_0002_002,SRF_0003_002,BUR0,PRB0,P020,E024
UNT_0002_002,F325,Top_Bis_Top_Orb,3D_Model_Visso,UNT_GEO,RS-MI0102,RS-MI0101,21,100,SRF_0001_001,SRF_0002_002,MES0,BUR0,P020,E024
UNT_0001_001,F325,Fm_della_Laga,3D_Model_Visso,UNT_GEO,RS-CL0204,RS-CL0402,20,100,dem,SRF_0001_001,MES0,MES0,P091,E064
