id,code_model,mean_dip_azimuth,mean_dip_azimuth_uom,mean_dip,mean_dip_uom,mean_strike,mean_strike_uom
SRF_0006_001,F325,,deg,,deg,,deg
SRF_0006_002,F325,,deg,,deg,,deg
SRF_0006_003,F325,,deg,,deg,,deg
SRF_0005_001,F325,,drg,,deg,,deg
SRF_0005_002,F325,,deg,,deg,,deg
SRF_0005_004,F325,,deg,,deg,,deg
SRF_0004_001,F325,,deg,,deg,,deg
SRF_0004_002,F325,,deg,deg
SRF_0004_005,F325,,deg,,deg,,deg
SRF_0003_001,F325,,deg,,deg,,deg
SRF_0003_002,F325,,deg,,deg,,deg
SRF_0003_003,,deg,,deg,,deg
SRF_0002_001,F325,,deg,,deg,,deg
SRF_0002_001,F325,,deg,,deg,,deg
SRF_0001_001,F325,,deg,,dag,,deg
