type_fault,color_fault,evaluation_method,observation_method,type_contact,color_surface,age_min_surface,age_max_surface,type_unit,type_lithology_main,type_lithology_sec,color_unit,age_up,age_low,type_event_process,type_event_environment
CT_TECT,800,M001,S001,CT_LT,90,PC00,PC00,UNT_GEO,MA-AN0100,MA-AN0100,90,PC00,PC00,P001,E001
CT_SMETA,100,M002,S002,CT_FACIES,87,HAD0,HAD0,UNT_UBSU,MA-AN0200,MA-AN0200,87,HAD0,HAD0,P002,E002
FAULT,130,M003,S003,CT_DEPOS,86,AR00,AR00,UNT_CRON,MA-AN0300,MA-AN0300,86,AR00,AR00,P003,E003
FAULT_N,111,M004,S004,UN_ST,84,PR00,PR00,UNT_GEOF,SI-CL0100,SI-CL0100,84,PR00,PR00,P004,E004
FAULT_T,,M005,S005,UN_ANG,82,F000,F000,UNT_LITO,SI-CL0200,SI-CL0200,82,F000,F000,P005,E005
FAULT_GR,,,S006,UN_PARA,81,AR01,AR01,UNT_STR,SI-CL0300,SI-CL0300,81,AR01,AR01,P006,E006
FAULT_DX,,,S007,UN_NONC,80,AR02,AR02,UNT_LSTR,SI-CL0400,SI-CL0400,80,AR02,AR02,P007,E007
FAULT_SX,,,S008,UN_DISC,79,AR03,AR03,UNT_TETT,SI-CL0500,SI-CL0500,79,AR03,AR03,P008,E008
FAULT_SS,,,S009,UN_BUTT,70,AR04,AR04,UNT_META,SI-CL0600,SI-CL0600,70,AR04,AR04,P009,E009
FAULT_SD,,,S010,,69,PLZ0,PLZ0,UNT_TSTR,SI-CL0700,SI-CL0700,69,PLZ0,PLZ0,P010,E010
FAULT_ND,,,S011,,68,MSP0,MSP0,,SI-CL0800,SI-CL0800,68,MSP0,MSP0,P011,E011
FAULT_NS,,,S012,,67,NPR0,NPR0,,SI-CL0900,SI-CL0900,67,NPR0,NPR0,P012,E012
FAULT_TD,,,S013,,66,PZ00,PZ00,,SI-CL1000,SI-CL1000,66,PZ00,PZ00,P013,E013
FAULT_TS,,,S014,,65,MZ00,MZ00,,SI-MI0100,SI-MI0100,65,MZ00,MZ00,P014,E014
FAULT_LT,,,S015,,64,CZ00,CZ00,,SI-OR0100,SI-OR0100,64,CZ00,CZ00,P015,E015
FAULT_RG,,,S016,,63,SID0,SID0,,SI-OR0200,SI-OR0200,63,SID0,SID0,P016,E016
FAULT_LC,,,S017,,62,RHY0,RHY0,,RS-CL0100,RS-CL0100,62,RHY0,RHY0,P017,E017
FAULT_AN,,,S018,,61,ORR0,ORR0,,RS-CL0200,RS-CL0200,61,ORR0,ORR0,P018,E018
FAULT_EX,,,S019,,60,STH0,STH0,,RS-CL0300,RS-CL0300,60,STH0,STH0,P019,E019
FAULT_OB,,,S020,,59,CAM0,CAM0,,SI-CL0601,SI-CL0601,59,CAM0,CAM0,P020,E020
FAULT_SC,,,,,58,ECT0,ECT0,,SI-CL0602,SI-CL0602,58,ECT0,ECT0,P021,E021
FAULT_DC,,,,,57,STN0,STN0,,SI-CL0701,SI-CL0701,57,STN0,STN0,P022,E022
FAULT_WR,,,,,56,TNN0,TNN0,,SI-CL0702,SI-CL0702,56,TNN0,TNN0,P023,E023
,,,,,54,CRY0,CRY0,,SI-CL0703,SI-CL0703,54,CRY0,CRY0,P024,E024
